seed,kernel,step_size,flow_length,target,flowtype,nchains,logZ,elbo,ess,nparticles
10,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.040403419395864226,-0.04507156581512982,0.9916181009488406,64
10,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.039723411289206645,-0.042696213733921365,0.9946424013303935,64
10,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.03050144197344462,-0.03297368037391653,0.9954188660674129,64
10,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,-0.1788000484841965,-0.21181111150576898,0.9456192577980623,64
10,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.17227124985535536,-0.213868519530494,0.9359531919221808,64
10,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.17531288683458301,-0.19611037234193263,0.9628968983780118,64
11,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.026922913485218025,-0.030845036291988356,0.9931211194176707,64
11,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.033658684931267224,-0.038628555980858514,0.9917572792521502,64
11,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.024178523042148292,-0.02580404512944451,0.9969422204017977,64
11,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,-0.14500093837537964,-0.18060172542504746,0.9345762468132708,64
11,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,0.10017218644348347,-0.13939088698221735,0.24951917006528884,64
11,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.14318042389426378,-0.17200203689991767,0.9390597550892982,64
12,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.03862444415756361,-0.043022980560524185,0.9921453760115655,64
12,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.015186929470368149,-0.01786857936227433,0.9951538524534868,64
12,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.03067362703778631,-0.033212638047470475,0.9951223534977355,64
12,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,0.051203442142868205,-0.12334499955262179,0.43467995002217047,64
12,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.040023951985168615,-0.12629901689946632,0.7542742779124009,64
12,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.11634016000073633,-0.13209720524805016,0.9718966034224076,64
13,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.027823992584310453,-0.03091942386113332,0.9945311626318465,64
13,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.03586404294792356,-0.03877603964747735,0.9947098877186678,64
13,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.025981290511666977,-0.027538707390493314,0.9970521190556281,64
13,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,-0.10702415933770038,-0.24646797734712494,0.5281810283819934,64
13,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.1120500749646034,-0.13446296219732445,0.9652701994967716,64
13,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.17076498356107583,-0.19534097158051716,0.9529172697069134,64
14,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.028603639047843465,-0.03237425598959397,0.9935995725929404,64
14,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.03368522304066346,-0.036300627355051476,0.9952303383535365,64
14,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.03123289259784734,-0.03393948928158454,0.9951226663597121,64
14,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,1253.8833887884387,19.388477656278674,0.015625,64
14,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.1153323480256283,-0.18112033894761598,0.8627892068659411,64
14,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.12047063419960047,-0.13655654442332238,0.9717171137124165,64
15,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.03276083950252229,-0.03744801811698055,0.9922468695047768,64
15,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.02855481361276091,-0.03176397477312355,0.9942024936096442,64
15,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.024271566528676125,-0.02593147926270714,0.9970687592873402,64
15,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,-0.15680558092448305,-0.21759024763764806,0.8832520861514821,64
15,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.09747095087196644,-0.1527834095958267,0.8760248085523629,64
15,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.10343006399061938,-0.14668748388242292,0.856364785902601,64
16,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.027619832119684773,-0.03015603441435015,0.9953808760556748,64
16,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.03186130214292948,-0.035841840325255905,0.9935172566151517,64
16,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.018704583400841024,-0.019616932424757594,0.998244429073412,64
16,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,-0.10223264143678801,-0.13451576858225717,0.9462805093573815,64
16,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.14544959242551858,-0.20226604552395355,0.8697685431003727,64
16,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.13973077826832014,-0.1675355364267216,0.9394273625469819,64
17,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.044105648855428115,-0.05027344986535917,0.989687726488835,64
17,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.025819087491992576,-0.02929400815064752,0.9940238860264231,64
17,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.037516258818723,-0.0408572434946938,0.9938987015191413,64
17,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,-0.10387438556982165,-0.14599121384228564,0.9173771917726826,64
17,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.14475501449049588,-0.17718370718231216,0.9458950405199876,64
17,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.03473328340653925,-0.160582285058677,0.4659828590272853,64
18,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.04830025885461442,-0.05262258364272812,0.9921812020806718,64
18,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.02484506063112235,-0.026758622507766325,0.9965091332193209,64
18,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.03573509464011071,-0.03787496649732516,0.9960204303404685,64
18,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,0.15027315929735607,-0.08130524264553222,0.2331373012766147,64
18,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.09504908255499256,-0.15431640048336534,0.864129388905074,64
18,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.11078749049254188,-0.1318707194991633,0.9602717021710115,64
19,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.03432556702888778,-0.0412836328670816,0.9876803208225482,64
19,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.01622755671843734,-0.018175459931565427,0.996336272954537,64
19,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.027225523618405134,-0.02939469954599694,0.9959784002042932,64
19,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,-0.2415094148000132,-0.28702061224660613,0.9201124236248203,64
19,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.13762885322050789,-0.19389443885795282,0.8849648252150526,64
19,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.12166439755885783,-0.15528231503015055,0.907409832174545,64
1,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.03201219797500521,-0.03466951353014082,0.9952272922286194,64
1,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.031692705896733564,-0.03868020810506581,0.9904577691006674,64
1,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.02347406690445908,-0.025186020735167777,0.9967307920553387,64
1,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,-0.196111399889626,-0.23866043299912218,0.9360812579187152,64
1,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.1504697512711397,-0.2029834641367914,0.9085475921339542,64
1,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.1386897588663416,-0.1651916312313956,0.9497046369212009,64
20,MF.HMC,0.2,150,Banana,MF.BackwardIRFMixFlow,1,-0.04906029868231787,-0.05552291647144467,0.9889875617263872,64
20,MF.HMC,0.2,150,Banana,MF.DeterministicMixFlow,1,-0.031647543171932746,-0.03482574825643854,0.9942886776011571,64
20,MF.HMC,0.2,150,Banana,MF.IRFMixFlow,1,-0.023369260990212304,-0.0251214582747024,0.9968065899487638,64
20,MF.HMC,0.2,150,Funnel,MF.BackwardIRFMixFlow,1,-0.0135204526471977,-0.1630439911228162,0.44443190495638163,64
20,MF.HMC,0.2,150,Funnel,MF.DeterministicMixFlow,1,-0.2197677508608864,-0.2618136738564738,0.9349980523686411,64
20,MF.HMC,0.2,150,Funnel,MF.IRFMixFlow,1,-0.15374458739123842,-0.17322780315087144,0.966116715892668,64
